date,youtuber,subscribers
2023-11-01,YouTuberA,12000
2023-11-01,YouTuberB,18000
2023-11-01,YouTuberC,25000
2023-11-02,YouTuberA,12200
2023-11-02,YouTuberB,18200
2023-11-02,YouTuberC,25500
2023-11-03,YouTuberA,12500
2023-11-03,YouTuberB,18500
2023-11-03,YouTuberC,26000
2023-11-04,YouTuberA,12800
2023-11-04,YouTuberB,18800
2023-11-04,YouTuberC,26500
2023-11-05,YouTuberA,13050
2023-11-05,YouTuberB,19200
2023-11-05,YouTuberC,27000
2023-11-06,YouTuberA,13300
2023-11-06,YouTuberB,19500
2023-11-06,YouTuberC,27500
2023-11-07,YouTuberA,13550
2023-11-07,YouTuberB,19850
2023-11-07,YouTuberC,28000
2023-11-08,YouTuberA,13800
2023-11-08,YouTuberB,20100
2023-11-08,YouTuberC,28500
2023-11-09,YouTuberA,14100
2023-11-09,YouTuberB,20450
2023-11-09,YouTuberC,29000
2023-11-10,YouTuberA,14400
2023-11-10,YouTuberB,20800
2023-11-10,YouTuberC,29500
2023-11-11,YouTuberA,14700
2023-11-11,YouTuberB,21000
2023-11-11,YouTuberC,30000
2023-11-12,YouTuberA,15000
2023-11-12,YouTuberB,21300
2023-11-12,YouTuberC,30500
2023-11-13,YouTuberA,15250
2023-11-13,YouTuberB,21500
2023-11-13,YouTuberC,31000
2023-11-14,YouTuberA,15500
2023-11-14,YouTuberB,21850
2023-11-14,YouTuberC,31500
2023-11-15,YouTuberA,15750
2023-11-15,YouTuberB,22200
2023-11-15,YouTuberC,32000
2023-11-16,YouTuberA,16000
2023-11-16,YouTuberB,22500
2023-11-16,YouTuberC,32500
2023-11-17,YouTuberA,16300
2023-11-17,YouTuberB,22800
2023-11-17,YouTuberC,33000
2023-11-18,YouTuberA,16600
2023-11-18,YouTuberB,23100
2023-11-18,YouTuberC,33500
2023-11-19,YouTuberA,16900
2023-11-19,YouTuberB,23400
2023-11-19,YouTuberC,34000
2023-11-20,YouTuberA,17150
2023-11-20,YouTuberB,23750
2023-11-20,YouTuberC,34500
2023-11-21,YouTuberA,17400
2023-11-21,YouTuberB,24100
2023-11-21,YouTuberC,35000
2023-11-22,YouTuberA,17700
2023-11-22,YouTuberB,24450
2023-11-22,YouTuberC,35500
2023-11-23,YouTuberA,18000
2023-11-23,YouTuberB,24800
2023-11-23,YouTuberC,36000
2023-11-24,YouTuberA,18300
2023-11-24,YouTuberB,25150
2023-11-24,YouTuberC,36500
2023-11-25,YouTuberA,18600
2023-11-25,YouTuberB,25500
2023-11-25,YouTuberC,37000
2023-11-26,YouTuberA,18850
2023-11-26,YouTuberB,25850
2023-11-26,YouTuberC,37500
2023-11-27,YouTuberA,19100
2023-11-27,YouTuberB,26200
2023-11-27,YouTuberC,38000
2023-11-28,YouTuberA,19350
2023-11-28,YouTuberB,26550
2023-11-28,YouTuberC,38500
2023-11-29,YouTuberA,19600
2023-11-29,YouTuberB,26900
2023-11-29,YouTuberC,39000
2023-11-30,YouTuberA,20000
2023-11-30,YouTuberB,27200
2023-11-30,YouTuberC,39500
2023-12-01,YouTuberA,20400
2023-12-01,YouTuberB,27500
2023-12-01,YouTuberC,40000
